Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Publication.Date,Total.number.of.passengers,Total.fatal.or.serious.injuries,Likelihood.of.serious.or.fatal.injury,Is.aircraft.destroyed,Make.model,Weather.Condition.missingness
20200725X12606,Accident,CEN20LA305,2020-07-25,"San Antonio, TX",United States,Fatal,Destroyed,Airplane,N716RL,Piper,pa28,No,1,Reciprocating,091,Business,1,0,2,0,VMC,26-09-2020,3,1,0.3333333333333333,True,Piper/pa28,False
20200725X21035,Accident,CEN20CA310,2020-07-25,"Angola, IN",United States,Non-Fatal,Substantial,Airplane,N86614,Champion,7gcbc,No,1,Reciprocating,091,Personal,0,1,0,1,VMC,02-02-2021,2,1,0.5,False,Champion/7gcbc,False
20200725X60143,Accident,CEN20LA306,2020-07-25,"Grant, NE",United States,Fatal,Substantial,Airplane,N502KJ,Air Tractor,at502,No,1,Turbo Prop,137,Aerial Application,1,0,0,0,VMC,26-09-2020,1,1,1.0,False,Air Tractor/at502,False
20200725X73345,Accident,WPR20LA238,2020-07-25,"West Jordan, UT",United States,Fatal,Substantial,Airplane,N7677C,Piper,pa32r,No,1,Reciprocating,091,Personal,3,1,2,0,VMC,26-09-2020,6,4,0.6666666666666666,False,Piper/pa32r,False
20200820X70856,Accident,GAA20WA130,2020-07-25,"Holbox, Mexico",Mexico,Non-Fatal,Substantial,Airplane,XA-FTG,Cessna,208,No,1,Missing/Unknown,NUSN,Missing/Unknown,0,0,0,7,VMC,26-09-2020,7,0,0.0,False,Cessna/208,False
20200810X95615,Accident,GAA20WA126,2020-07-25,"Blatten - VS, Eswatini",Eswatini,Fatal,Destroyed,Airplane,HB-TLF,Cessna,172,No,1,Missing/Unknown,NUSN,Missing/Unknown,4,0,0,0,VMC,26-09-2020,4,4,1.0,True,Cessna/172,False
20200726X15926,Accident,CEN20CA308,2020-07-26,"Hillsboro, IL",United States,Non-Fatal,Substantial,Airplane,N772TW,Maule,mxt7,No,1,Reciprocating,091,Personal,0,0,1,0,VMC,02-02-2021,1,0,0.0,False,Maule/mxt7,False
20200727X74651,Accident,ERA20CA276,2020-07-26,"Lakeland, FL",United States,Non-Fatal,Substantial,Airplane,N2629V,Cessna,177rg,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,10-06-2021,2,0,0.0,False,Cessna/177rg,False
20200727X31809,Accident,CEN20CA312,2020-07-27,"Tiro, OH",United States,Non-Fatal,Substantial,Airplane,N602FH,Air Tractor,at 602,No,1,Turbo Prop,137,Aerial Application,0,0,0,1,VMC,02-02-2021,1,0,0.0,False,Air Tractor/at 602,False
20200727X35400,Accident,CEN20LA309,2020-07-27,"Corsica, SD",United States,Fatal,Substantial,Airplane,N53163,Cessna,a188,No,1,Missing/Unknown,137,Aerial Application,1,0,0,0,VMC,26-09-2020,1,1,1.0,False,Cessna/a188,False
20200727X40311,Accident,CEN20CA311,2020-07-27,"Burlington, CO",United States,Non-Fatal,Substantial,Airplane,N9190Q,Air Tractor,at 401,No,1,Reciprocating,137,Aerial Application,0,1,0,0,VMC,26-08-2021,1,1,1.0,False,Air Tractor/at 401,False
20200728X51541,Accident,ANC20CA080,2020-07-27,"Fairbanks, AK",United States,Non-Fatal,Substantial,Airplane,N1277A,Piper,pa 18,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,08-11-2021,2,0,0.0,False,Piper/pa 18,False
20200806X61423,Accident,CEN20CA331,2020-07-27,"Hartington, NE",United States,Non-Fatal,Substantial,Airplane,N9278G,Cessna,a188,No,1,Reciprocating,137,Aerial Application,0,0,0,1,VMC,06-05-2021,1,0,0.0,False,Cessna/a188,False
20200728X82604,Accident,CEN20LA314,2020-07-28,"Houston, TX",United States,Non-Fatal,Destroyed,Airplane,N15302,Piper,pa28r,No,1,Reciprocating,091,Personal,0,0,2,0,VMC,26-09-2020,2,0,0.0,True,Piper/pa28r,False
20200729X63244,Incident,DCA20WA133,2020-07-28,"Wamena, Indonesia",Indonesia,Non-Fatal,Minor,Airplane,PK-YSZ,Boeing,737,No,1,Missing/Unknown,NUSC,Missing/Unknown,0,0,0,3,VMC,26-09-2020,3,0,0.0,False,Boeing/737,False
20200730X54532,Accident,ANC20WA073,2020-07-28,"Abbotsford, Canada",Canada,Fatal,Missing/Unknown,Airplane,C-GOFK,Cessna,140,No,1,Missing/Unknown,NUSN,Missing/Unknown,1,1,0,0,VMC,26-09-2020,2,2,1.0,False,Cessna/140,False
20200729X70322,Accident,ERA20LA262,2020-07-29,"Malbis, AL",United States,Fatal,Substantial,Airplane,N3156W,Beech,f33,No,1,Reciprocating,091,Personal,2,0,0,0,IMC,26-09-2020,2,2,1.0,False,Beech/f33,False
20200730X70803,Accident,ERA20CA269,2020-07-29,"Hudson, NY",United States,Non-Fatal,Substantial,Airplane,N6705E,Cessna,172,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,24-06-2021,1,0,0.0,False,Cessna/172,False
20200730X70921,Accident,ERA20CA267,2020-07-29,"Indian Trail, NC",United States,Non-Fatal,Substantial,Airplane,N33JM,Piper,pa28,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,10-06-2021,2,0,0.0,False,Piper/pa28,False
20200804X74552,Accident,ANC20CA075,2020-07-29,"Chisana, AK",United States,Non-Fatal,Substantial,Airplane,N1049P,Piper,pa18,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,08-11-2021,1,0,0.0,False,Piper/pa18,False
20200730X63728,Accident,WPR20LA245,2020-07-30,"Ennis, MT",United States,Fatal,Substantial,Airplane,N337V,Cessna,337,No,2,Reciprocating,091,Business,1,0,2,0,VMC,26-09-2020,3,1,0.3333333333333333,False,Cessna/337,False
20200730X91205,Accident,WPR20LA246,2020-07-30,"Elgin, NV",United States,Fatal,Destroyed,Airplane,N8510M,Air Tractor,at802,No,1,Missing/Unknown,PUBU,Firefighting,2,0,0,0,VMC,06-01-2021,2,2,1.0,True,Air Tractor/at802,False
20200804X04510,Accident,GAA20WA125,2020-07-30,"Tarapaca-Amazonas, Colombia",Colombia,Fatal,Destroyed,Airplane,HK2129,Cessna,r172,No,1,Missing/Unknown,NUSN,Missing/Unknown,1,2,0,0,VMC,26-09-2020,3,3,1.0,True,Cessna/r172,False
20200731X11938,Accident,ANC20LA074,2020-07-31,"Soldotna, AK",United States,Fatal,Destroyed,Airplane,N4982U,De Havilland,dhc-2,No,1,Missing/Unknown,135,Missing/Unknown,7,0,0,0,VMC,06-01-2021,7,7,1.0,True,De Havilland/dhc-2,False
20200803X22344,Accident,CEN20CA320,2020-07-31,"Memphis, MO",United States,Non-Fatal,Substantial,Airplane,N90834,Cessna,a188,No,1,Reciprocating,137,Aerial Application,0,1,0,0,VMC,02-02-2021,1,1,1.0,False,Cessna/a188,False
20200801X13330,Accident,ERA20LA270,2020-08-01,"Sumter, SC",United States,Non-Fatal,Substantial,Airplane,C-GXKS,Piper,pa31,No,2,Missing/Unknown,091,Aerial Observation,0,2,0,0,VMC,26-09-2020,2,2,1.0,False,Piper/pa31,False
20200801X90550,Accident,ERA20LA274,2020-08-01,"Honesdale, PA",United States,Non-Fatal,Substantial,Airplane,N3025L,Piper,pa32rt,No,1,Reciprocating,091,Personal,0,0,0,5,VMC,26-09-2020,5,0,0.0,False,Piper/pa32rt,False
20200803X23905,Accident,CEN20LA321,2020-08-01,"Seiling, OK",United States,Non-Fatal,Substantial,Airplane,N9765C,Piper,pa28r,No,1,Reciprocating,091,Personal,0,0,0,4,VMC,26-09-2020,4,0,0.0,False,Piper/pa28r,False
20200803X55119,Accident,CEN20CA349,2020-08-01,"Bentonville, AR",United States,Non-Fatal,Substantial,Airplane,N829PA,Cessna,t206,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,02-02-2021,2,0,0.0,False,Cessna/t206,False
20200818X75352,Accident,WPR20CA275,2020-08-01,"Susanville, CA",United States,Non-Fatal,Substantial,Airplane,N60934,Cessna,a185,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Cessna/a185,False
20200802X25022,Accident,WPR20LA249,2020-08-02,"Cedar City, UT",United States,Fatal,Substantial,Airplane,N225HJ,North American,navion,No,1,Reciprocating,091,Personal,2,0,0,0,VMC,26-09-2020,2,2,1.0,False,North American/navion,False
20200802X32032,Accident,ERA20LA272,2020-08-02,"Alabaster, AL",United States,Non-Fatal,Substantial,Airplane,N7750Y,Piper,pa 30,No,2,Reciprocating,091,Instructional,0,0,0,2,VMC,26-09-2020,2,0,0.0,False,Piper/pa 30,False
20200806X33828,Accident,WPR20LA256,2020-08-02,"San Jose, CA",United States,Non-Fatal,Substantial,Airplane,N55231,Cessna,172,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,26-09-2020,2,0,0.0,False,Cessna/172,False
20200810X33437,Accident,ANC20WA079,2020-08-02,"Valdau, Russia",Russia,,Missing/Unknown,Airplane,RA-67551,Cessna,172,No,1,Missing/Unknown,UNK,Missing/Unknown,0,0,0,0,VMC,26-09-2020,0,0,0.0,False,Cessna/172,False
20200818X65853,Accident,CEN20CA351,2020-08-02,"Conway, AR",United States,Non-Fatal,Substantial,Airplane,N13184,Cessna,172,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,31-08-2021,1,0,0.0,False,Cessna/172,False
20200803X43604,Accident,WPR20CA250,2020-08-03,"Kalispell, MT",United States,Non-Fatal,Substantial,Airplane,N185GK,Cessna,a185,No,1,Reciprocating,091,Personal,0,0,0,3,VMC,06-05-2021,3,0,0.0,False,Cessna/a185,False
20200807X45731,Accident,CEN20LA327,2020-08-03,"Alicia, AR",United States,Non-Fatal,Substantial,Airplane,N8105K,Grumman,g164,No,1,Turbo Prop,137,Aerial Application,0,1,0,0,VMC,26-09-2020,1,1,1.0,False,Grumman/g164,False
20200805X33330,Accident,ANC20CA076,2020-08-04,"Wasilla, AK",United States,Non-Fatal,Substantial,Airplane,N82566,Piper,pa18,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,08-11-2021,1,0,0.0,False,Piper/pa18,False
